GW event,Detection Time,Location,Luminosity Distance,Detector,Far,Fac,Class NS/NS,Class NS/BH,Class BH/BH,Class Mass gap,Class Terrestrial,Note,Ref
S230518h,"2023-05-18
12:59:07",460; near the galactic plane,204±57,"H,L",3.2 10−10,0.018,0,0.864,0.037,0,0.099,"Detected during the engineering phase, before the official start of O4.",[84]
S230520ae,"2023-05-20
22:48:41",1702,2014±663,"H,L",3.1 10−9,0.161,0,0,~1.0,0,1.40E-07,"Detected during the engineering phase, before the official start of O4.",[85]
S230522a,"2023-05-22
09:38:04",24219,3102±1032,L,1.0 10−8,0.448,0,0,0.99973,0.00071,0.00027,"Detected during the engineering phase, before the official start of O4.",[86]
S230522n,"2023-05-22
15:30:32",29021,2221±870,L,6.5 10−9,0.311,0,0,0.993,0.0041,0.0069,"Detected during the engineering phase, before the official start of O4.",[87]
S230601bf,"2023-06-01
22:41:34",2531,3565±1260,"H,L",1.7 10−15,9.6 10−8,0,0,~1.0,0.0022,6.40E-09,,[88]
S230605o,"2023-06-05
06:53:43",1077,1067±333,"H,L",4.5 10−9,0.229,0,0,0.988,0,0.012,,[89]
S230606d,"2023-06-06
00:43:05",1221,2545±874,"H,L",1.1 10−8,0.481,0,0,0.99928,0,0.00072,,[90]
S230608as,"2023-06-08
20:50:47",1694,3447±1079,"H,L",1.4 10−10,0.0078,0,0,0.99981,0,0.00019,,[91]
S230609u,"2023-06-09
06:49:58",1287,3390±1125,"H,L",1.0 10−8,0.438,0,0,0.961,0,0.038,,[92]
S230624av,"2023-06-24
11:31:03",1024,2124±682,"H,L",1.3 10−8,0.526,0,0,0.953,0,0.047,,[93]
S230627c,"2023-06-27
01:53:37","82; towards Leo, Leo Minor, Ursa Major, or Draco",291±64,"H,L",3.2 10−10,0.018,0,0.365,0.354,0.251,0.03,,[94]
S230628ax,"2023-06-28
23:12:00",705,2047±585,"H,L",3.2 10−10,0.018,0,0,~1.0,0,2.40E-05,,[95]
S230630am,"2023-06-30
12:58:06",3642,8710±2735,"H,L",2.4 10−8,0.75,0,0,0.941,0.042,0.017,,[96]
S230630bq,"2023-06-30
23:45:32",1975,1150±360,"H,L",7.7 10−9,0.358,0,0.00076,0.89,0.079,0.031,,[97]
S230702an,"2023-07-02
18:54:53",2267,2428±849,"H,L",1.5 10−12,8.8 10−5,0,0,~1.0,0,2.80E-05,,[98]
S230704f,"2023-07-04
02:12:11",1948,2965±978,"H,L",2.8 10−9,0.149,0,0,0.997,0,0.0026,,[99]
S230706ah,"2023-07-06
10:43:33",1553,2143±684,"H,L",4.3 10−8,0.914,0,0,0.939,0.035,0.027,,[100]
S230707ai,"2023-07-07
12:40:47",2714,3766±1135,"H,L",1.4 10−8,0.546,0,0,0.951,0,0.049,,[101]
S230708t,"2023-07-08
05:37:05",1227,3010±988,"H,L",4.3 10−8,0.917,0,0,0.973,0.0041,0.027,,[102]
S230708z,"2023-07-08
07:18:59",3373,4647±1696,"H,L",7.0 10−8,0.982,0,0,0.954,0.0041,0.046,,[103]
S230708cf,"2023-07-08
23:09:35",2525,2056±608,"H,L",1.6 10−8,0.59,0,0,0.989,0,0.011,,[104]
S230709bi,"2023-07-09
12:27:27",2644,4364±1585,"H,L",3.1 10−9,0.161,0,0,0.997,0,0.0028,,[105]
S230723ac,"2023-07-23
10:18:23",1117,1551±436,"H,L",5.3 10−8,0.953,0,0,0.867,0,0.133,,[106]
S230726a,"2023-07-26
00:29:40",27774,2132±714,L,3.8 10−14,2.2 10−6,0,0,~1.0,0,1.40E-07,"Detected by only the Livingston detector, resulting in a bad sky localization.",[107]
S230729z,"2023-07-29
08:23:17",1945,1495±444,"H,L",3.4 10−9,0.177,0,0,0.942,0.055,0.003,,[108]
S230731an,"2023-07-31
21:53:07",599,1001±242,"H,L",3.2 10−10,0.018,0,0.174,0.771,0.053,0.0022,,[109]
S230802aq,"2023-08-02
11:33:59",25885,576±246,H,2.2 10−8,0.722,0,0.02,0.289,0.657,0.035,"The other component is a black hole. Detected by only the Hanford detector, resulting in a bad sky localization.",[110]
S230805x,"2023-08-05
03:42:49",2235,3852±1193,"H,L",9.2 10−9,0.41,0,0,0.99975,0,0.00025,,[111]
S230806ak,"2023-08-06
20:40:41",3715,5423±1862,"H,L",3.0 10−9,0.156,0,0,0.997,0,0.0026,,[112]
S230807f,"2023-08-07
20:50:45",5436,5272±1900,"H,L",7.1 10−8,0.983,0,0,0.913,0.041,0.047,,[113]
S230811n,"2023-08-11
03:21:16",810,1905±672,"H,L",3.2 10−10,0.018,0,0,~1.0,0,2.20E-05,,[114]
S230814r,"2023-08-14
06:19:20",3389,3788±1416,"H,L",4.8 10−8,0.937,0,0,0.932,0,0.068,,[115]
S230814ah,"2023-08-14
23:09:01",25259,330±105,L,1.7 10−21,0,0,0,~1.0,0,2.00E-14,"Detected by only the Livingston detector, resulting in a bad sky localization.",[116]
S230819ax,"2023-08-19
17:19:10",4044,4216±1645,"H,L",8.8 10−9,0.398,0,0,0.993,0,0.0072,,[117]
S230820bq,"2023-08-20
21:25:15",1373,3600±1437,"H,L",4.2 10−8,0.912,0,0,0.958,0,0.042,,[118]
S230822bm,"2023-08-22
23:03:37",3974,5154±1771,"H,L",2.6 10−8,0.773,0,0,0.939,0.042,0.019,,[119]
S230824r,"2023-08-24
03:30:47",3279,4701±1563,"H,L",1.6 10−11,0.00094,0,0,~1.0,0,2.90E-05,,[120]
S230825k,"2023-08-25
04:13:34",3012,5283±2117,"H,L",2.4 10−9,0.128,0,0,0.939,0.059,0.0022,,[121]
S230831e,"2023-08-31
01:54:14",3803,4900±2126,"H,L",2.0 10−8,0.679,0,0,0.985,0.0073,0.015,,[122]
S230904n,"2023-09-04
05:10:13",2015,1095±327,"H,L",2.2 10−9,0.121,0,0.0007,0.927,0.064,0.009,,[123]
S230911ae,"2023-09-11
19:53:24",27759,1623±584,H,1.9 10−12,0.00011,0,0,~1.0,0,3.60E-06,"Detected by only the Hanford detector, resulting in a bad sky localization.",[124]
S230914ak,"2023-09-14
11:14:01",1532,2676±827,"H,L",9.0 10−10,0.05,0,0,0.992,0,0.0083,,[125]
S230919bj,"2023-09-19
21:57:12",708,1491±402,"H,L",3.2 10−10,0.018,0,0,0.99965,0,0.00035,,[126]
S230920al,"2023-09-20
07:11:24",2180,3139±1003,"H,L",3.2 10−10,0.018,0,0,~1.0,0,1.10E-05,,[127]
S230922g,"2023-09-22
02:03:44",324; towards Pisces Austrinus or Aquarius,1491±443,"H,L",1.9 10−24,0,0,0,~1.0,0,0,,[128]
S230922q,"2023-09-22
04:06:58",4658,6653±2348,"H,L",3.6 10−10,0.021,0,0,~1.0,0,2.20E-05,,[129]
S230924an,"2023-09-24
12:44:53",835,2358±596,"H,L",3.2 10−10,0.018,0,0,~1.0,0,1.90E-05,,[130]
S230927l,"2023-09-27
04:37:29",1177,2966±1041,"H,L",1.1 10−8,0.461,0,0,0.976,0,0.024,,[131]
S230927be,"2023-09-27
15:38:32",298,1059±289,"H,L",3.2 10−10,0.018,0,0,0.99966,0,0.00034,,[132]
S230928cb,"2023-09-28
21:58:27",3102,4060±1553,"H,L",9.5 10−10,0.053,0,0,~1.0,0,2.80E-05,,[133]
S230930al,"2023-09-30
11:07:30",3166,4902±1671,"H,L",7.4 10−9,0.346,0,0,0.994,0.0041,0.0061,,[134]
S231001aq,"2023-10-01
14:02:20",3181,4425±1946,"H,L",5.0 10−9,0.248,0,0,0.996,0.0044,0.004,,[135]
S231005j,"2023-10-05
02:10:30",5480,6417±2246,"H,L",3.2 10−8,0.842,0,0,0.978,0,0.022,,[136]
S231005ah,"2023-10-05
09:15:49",2497,3707±1335,"H,L",2.0 10−9,0.111,0,0,0.998,0.0041,0.0015,,[137]
S231008ap,"2023-10-08
14:25:21",3102,3531±1320,"H,L",1.5 10−9,0.084,0,0,0.9986,0,0.0014,,[138]
S231014r,"2023-10-14
04:05:48",1807,2857±903,"H,L",1.0 10−8,0.448,0,0,0.992,0,0.008,,[139]
S231020ba,"2023-10-20
14:29:47",1339,1168±361,"H,L",1.3 10−9,0.07,0,0.076,0.851,0.066,0.007,,[140]
S231020bw,"2023-10-20
18:05:09",386,2620±694,"H,L",3.5 10−10,0.02,0,0,0.99965,0,0.00035,,[141]
S231028bg,"2023-10-28
15:30:06",1207,4221±923,"H,L",7.6 10−31,0,0,0,~1.0,0,0,,[142]
S231029y,"2023-10-29
11:15:08",29972,3292±1313,L,2.2 10−10,0.012,0,0,0.99977,0,0.00023,"Detected by only the Livingston detector, resulting in a bad sky localization.",[143]
S231102w,"2023-11-02
07:17:36",2343,3493±1015,"H,L",5.8 10−23,0,0,0,~1.0,0,3.30E-16,,[144]
S231104ac,"2023-11-04
13:34:18",759,1357±321,"H,L",3.2 10−10,0.018,0,0.002,0.988,0.0088,0.0018,,[145]
S231108u,"2023-11-08
12:51:42",949,1986±494,"H,L",3.2 10−10,0.018,0,0,0.99969,0,0.00032,,[146]
S231110g,"2023-11-10
04:03:20",636,1849±533,"H,L",1.9 10−8,0.67,0,0,0.968,0,0.032,,[147]
S231113bb,"2023-11-13
12:26:23",2172,3260±1181,"H,L",5.6 10−8,0.96,0,0,0.965,0.0041,0.035,,[148]
S231113bw,"2023-11-13
20:04:17",1713,1186±376,"H,L",1.4 10−8,0.543,0,0.161,0.743,0.056,0.04,,[149]
S231114n,"2023-11-14
04:32:11",1267,1317±407,"H,L",3.2 10−10,0.018,0,0,0.99985,0.0095,0.00015,,[150]
S231118d,"2023-11-18
00:56:26",956,2110±585,"H,L",3.2 10−10,0.018,0,0,0.99981,0,0.00019,,[151]
S231118ab,"2023-11-18
07:14:02",2898,4353±1588,"H,L",1.9 10−8,0.663,0,0,0.985,0,0.015,,[152]
S231118an,"2023-11-18
09:06:02",1107,1337±347,"H,L",7.5 10−8,0.986,0,0.015,0.726,0.017,0.242,,[153]
S231119u,"2023-11-19
07:52:48",5211,6597±2556,"H,L",7.4 10−8,0.986,0,0.015,0.914,0.041,0.045,,[154]
S231123cg,"2023-11-23
13:54:30",2714,1148±338,"H,L",3.2 10−10,0.018,0,0.015,0.99999,0.041,7.60E-06,,[155]
S231127cg,"2023-11-27
16:53:00",3450,4425±1718,"H,L",5.8 10−9,0.284,0,0,0.996,0.0063,0.0044,,[156]
S231129ac,"2023-11-29
08:17:45",3089,3964±1513,"H,L",1.8 10−8,0.637,0,0,0.986,0.0041,0.014,,[157]
S231206ca,"2023-12-06
23:31:34",2335,3230±1141,"H,L",3.2 10−10,0.018,0,0,0.99998,0,0.000018,,[158]
S231206cc,"2023-12-06
23:39:01",342,1467±264,"H,L",1.9 10−35,0,0,0,~1.0,0,0,,[159]
S231213ap,"2023-12-13
11:14:17",1469,3861±1257,"H,L",6.3 10−10,0.036,0,0,0.99998,0,0.000022,,[160]
S231223j,"2023-12-23
03:28:36",3520,4468±1602,"H,L",1.1 10−9,0.062,0,0,0.99905,0.000023,0.00095,,[161]
S231224e,"2023-12-24
02:43:21",394,863±213,"H,L",1.5 10−9,0.084,0,0.00019,0.88,0.117,0.0034,,[162]
S231226av,"2023-12-26
10:15:20",199,1218±171,"H,L",1.1 10−50,0,0,0,~1.0,0,0,,[163]
S231231ag,"2023-12-31
15:40:16",27061,1066±339,H,8.4 10−15,4.8 10−7,0,0,~1.0,0,2.90E-08,"Detected by only the Hanford detector, resulting in a bad sky localization.",[164]
S240104bl,"2024-01-04
16:49:32",27948,1978±618,H,3.6 10−17,0,0,0,~1.0,0,2.20E-10,"Detected by only the Hanford detector, resulting in a bad sky localization.",[165]
S240107b,"2024-01-07
01:32:15",4143,6089±2429,"H,L",5.8 10−8,0.965,0,0,0.966,0,0.034,,[166]
S240109a,"2024-01-09
05:04:31",28048,1594±567,H,7.3 10−9,0.344,0,0,0.995,0,0.0053,"Detected by only the Hanford detector, resulting in a bad sky localization.",[167]
S240406aj,"2024-04-06
06:28:47",1724,2449±692,"H,L",1.6 10−15,8.9 10−8,0,0,~1.0,0,9.20E-09,,[168]
S240413p,"2024-04-13
02:20:19",34; towards Leo or Sextans,526±101,"H,L,V",3.2 10−10,0.018,0,0,0.584,0.4,0.02,,[169]
S240420ax,"2024-04-20
04:21:16",6423,?,"H,L",5.7 10−8,0.961,0,0,0,0,?,"Unidentified gravitational wave ""burst"" lasting 33 milliseconds at a frequency of 219 Hertz.",[170]
S240422ed,"2024-04-22
21:35:13","259; towards Puppis, Pyxis, or Hydra",188±43,"H,L,V",3.1 10−13,1.8 10-5,0,0.541,0,0.459,1.30E-05,,[171]
S240426s,"2024-04-26
03:14:51",3050,3452±1295,"H,L",7.6 10−9,0.354,0,0,0.968,0.03,0.00191,,[172]
S240428dr,"2024-04-28
22:54:40",286,765±177,"H,V",2.1 10−14,1.2 10−6,0,0,~1.0,0,7.40E-08,,[173]
S240430ca,"2024-04-30
09:35:17",4061,6212±2593,"H,L",7.5 10−8,0.986,0,0,0.92,0.041,0.039,,[174]
S240501an,"2024-05-01
03:35:34",1079,4022±1460,"H,L,V",4.2 10−10,0.024,0,0,0.99999,0,1.30E-05,,[175]
S240505av,"2024-05-05
13:35:52",1469,4570±1415,"H,L,V",2.3 10−8,0.731,0,0,0.985,0,0.015,,[176]
S240507p,"2024-05-07
04:16:32","279; mostly towards
Canis Major or Cassiopeia",1328±370,"H,L,V",6.3 10−10,0.036,0,0,0.963,0.036,0.00031,,[177]
S240511i,"2024-05-11
03:15:07",85; towards Crater or Hydra,1906±404,"H,L,V",3.2 10−10,0.018,0,0,0.99998,0,1.70E-05,,[178]
S240512r,"2024-05-12
02:41:39",216,1082±266,"H,L,V",3.2 10−10,0.018,0,0.02,0.958,0.02,0.0017,,[179]
S240513ei,"2024-05-13
18:33:02",37; towards Auriga or Perseus,2254±458,"H,L,V",3.2 10−10,0.018,0,0,0.99973,0,0.00027,,[180]
S240514c,"2024-05-14
08:03:21",30758,4182±1833,L,9.6 10−9,0.425,0,0,0.9932,0,0.0064,"Detected by only the Livingston detector, resulting in a bad sky localization.",[181]
S240514x,"2024-05-14
12:17:13",142; mostly towards Reticulum,2594±587,"H,L,V",3.2 10−10,0.018,0,0,0.99998,0,1.80E-05,,[182]
S240515m,"2024-05-15
00:53:01",978,3559±976,"H,L,V",5.3 10−21,0,0,0,~1.0,0,4.30E-14,,[183]
S240520cv,"2024-05-20
21:36:16","89; towards Ursa Major, Indus, or Tucana",1136±235,"H,L,V",3.2 10−10,0.018,0,0.03,0.921,0.047,0.0018,,[184]
S240525p,"2024-05-25
03:12:10",1517,4337±1519,"H,L,V",1.7 10−8,0.619,0,0,0.902,0.086,0.012,,[185]
S240527en,"2024-05-27
18:34:29",986,5850±1907,"H,L,V",2.5 10−9,0.135,0,0.0009,0.99907,0,2.70E-05,,[186]
S240527fv,"2024-05-27
23:09:10",19; towards Horologium,1119±188,"H,L,V",1.4 10−8,0.559,0,0,0.987,0.0036,0.0096,,[187]
S240530a,"2024-05-30
01:24:17",196,1066±226,"H,L,V",9.5 10−10,0.053,0,0,0.91,0.085,0.0048,,[188]
S240531bp,"2024-05-31
07:52:48",1323,3766±1491,"H,L,V",3.7 10−12,0.00022,0,0,0.99999,0,6.50E-06,,[189]
S240601aj,"2024-06-01
06:12:00",2009,5366±2095,"H,L",3.1 10−8,0.829,0,0,0.507,0,0.493,,[190]
S240601co,"2024-06-01
23:10:04",1110,1421±390,"H,L,V",6.0 10−11,0.0034,0,0,0.928,0.072,0.00023,,[191]
S240615dg,"2024-06-15
11:36:20",5; towards northern Andromeda,1420±236,"H,L,V",3.2 10−10,0.018,0,0,0.99998,0,1.70E-05,,[192]
S240615ea,"2024-06-15
16:07:35",653,3590±1058,"H,L,V",1.5 10−8,0.582,0,0,0.99938,0,0.00062,,[193]
S240618ah,"2024-06-18
07:16:27",5116,5939±2437,"H,L",6.5 10−8,0.976,0,0,0.921,0.041,0.038,,[194]
S240621dy,"2024-06-21
19:50:59",21; towards Perseus,1184±199,"H,L,V",4.0 10−20,0,0,0,~1.0,0,0,,[195]
S240621eb,"2024-06-21
20:09:35",920,4492±1407,"H,L,V",4.3 10−8,0.916,0,0,0.9987,0,0.0013,,[196]
S240621em,"2024-06-21
21:40:41",3069,7458±2672,"H,L,V",6.8 10−8,0.979,0,0,0.92,0.041,0.039,,[197]
S240622h,"2024-06-22
00:40:48",199,1350±303,"H,L,V",1.2 10−8,0.499,0,0,0.974,0.011,0.015,,[198]
S240627by,"2024-06-27
13:16:22",934,1479±420,"H,L,V",1.2 10−8,0.5,0,0,0.911,0.08,0.0084,,[199]
S240629by,"2024-06-29
14:52:56",66,1173±245,"H,L,V",3.2 10−10,0.018,0,0.073,0.798,0.127,0.0015,,[200]
S240630t,"2024-06-30
10:17:03",670,3161±841,"H,L,V",1.9 10−12,0.00011,0,0,~1.0,0,3.30E-06,,[201]
S240703ad,"2024-07-03
19:13:55",3785,1894±679,"H,V",1.2 10−13,6.8 10-6,0,0,~1.0,0,2.80E-07,,[202]
S240705at,"2024-07-05
05:32:15",172,3694±880,"H,L,V",7.1 10−16,3.8 10-8,0,0,~1.0,0,0,,[203]
S240716b,"2024-07-16
03:49:00",10324,1821±686,"L,V",7.9 10−16,4.5 10-8,0,0,~1.0,0,3.60E-09,,[204]
S240807h,"2024-08-07
21:45:59",12857,1018±295,"L,V",2.0 10−11,0.0012,0,0.0001,0.956,0.044,3.20E-05,,[205]
S240813c,"2024-08-13
03:45:48",13782,1240±392,"L,V",2.6 10−9,0.139,0,0,0.909,0.089,0.0022,,[206]
S240813d,"2024-08-13
04:39:13",1776,1065±259,"L,V",1.8 10−18,0,0,0,~1.0,0,1.20E-11,,[207]
S240825ar,"2024-08-25
05:51:46",1203,1342±380,"H,L,V",3.2 10−9,0.166,0,0.025,0.93,0.036,0.0091,,[208]
S240830gn,"2024-08-30
21:11:20",410,1118±297,"H,L,V",6.3 10−10,0.036,0,0.105,0.891,0.084,0.0031,,[209]
S240902bq,"2024-09-02
14:33:06",584,2420±828,"H,L,V",2.5 10−9,0.135,0,0,0.9999,0,9.94E-05,,[210]
S240907cg,"2024-09-07
15:38:33",1065,4333±1354,"H,L,V",9.1 10−10,0.051,0,0,0.99914,0,0.00086,,[211]
S240908bs,"2024-09-08
08:26:28",74; towards northern Aries,3350±1130,"H,L,V",3.2 10−10,0.018,0,0,0.997,0.0031,1.40E-05,,[212]
S240908dg,"2024-09-08
12:51:34",1021,5004±1764,"H,L,V",7.2 10−8,0.984,0,0,0.91,0.041,0.05,,[213]
S240910ci,"2024-09-10
10:35:35",394,662±166,"H,L",3.2 10−10,0.018,0,0.28,0.628,0.09,0.0015,,[214]
S240915b,"2024-09-15
00:13:57",18; towards Southern Puppis,872±149,"H,L,V",3.2 10−10,0.018,0,0.121,0.745,0.132,0.0015,,[215]
S240915bd,"2024-09-15
10:51:51",4244,612±139,"H,V",3.3 10−14,1.9 10-6,0,0.00037,0.899,0.101,1.20E-07,,[216]
S240917cb,"2024-09-17
13:02:37",8644,6657±3466,"H,L",5.4 10−8,0.955,0,0,0.903,0.057,0.04,,[217]
S240919bn,"2024-09-19
06:15:59",16; towards Southern Perseus,1711±490,"H,L,V",4.0 10−20,0,0,0,~1.0,0,0,,[218]
S240920bz,"2024-09-20
07:34:24",349,1372±305,"H,L,V",3.2 10−10,0.018,0,0,0.99972,0,0.00028,,[219]
S240920dw,"2024-09-20
12:40:24",135,977±160,"H,L",9.7 10−52,0,0,0,~1.0,0,0,,[220]
S240921cw,"2024-09-21
20:18:35",471,866±204,"L,V",3.2 10−10,0.045,0,0,0.997,0.0025,0.00078,,[221]
S240922df,"2024-09-22
14:21:06",97; towards Capricornus,1175±262,"H,L,V",1.4 10−24,0,0,0,0.965,0.035,0,,[222]
S240923ct,"2024-09-23
20:40:06","216; towards Hercules, Corona Borealis, or Serpens Caput",4025±1076,"H,L,V",7.6 10−16,4.5 10-8,0,0,~1.0,0,2.90E-09,,[223]
S240924a,"2024-09-24
00:03:16",660,3816±1285,"H,L,V",2.5 10−9,0.132,0,0,0.99993,0,7.10E-05,,[224]
S240925n,"2024-09-25
00:58:59",40; towards central Aquila,329±76,"H,L,V",4.0 10−20,0,0,0,0.742,0.258,0,,[225]
S240930aa,"2024-09-30
00:58:59",457,1400±323,"H,L,V",3.1 10−19,0,0,0,0.9996,0.0004,1.70E-12,,[226]
S240930du,"2024-09-30
23:46:14",708,3874±1404,"H,L",1.3 10−8,0.521,0,0,0.666,0,0.334,,[227]
S241002e,"2024-10-02
03:05:59",1237,1607±557,"L,V",1.4 10−21,0,0,0,0.997,0.003,1.05E-14,,[228]
S241006k,"2024-10-06
01:53:33",263,1899±441,"H,L,V",5.9 10−42,0,0,0,~1.0,0,0,,[229]
S241007bw,"2024-10-07
08:29:43",967,4355±1289,"H,L,V",1.6 10−8,0.611,0,0,0.988,0,0.012,,[230]
S241009l,"2024-10-09
02:28:35",2544,6642±2029,"H,L,V",3.3 10−8,0.851,0,0,0.971,0.004,0.025,,[231]
S241009an,"2024-10-09
08:48:16",542,1208±365,"H,L,V",1.9 10−12,0.00011,0,0,0.982,0.017,2.90E-06,,[232]
S241009em,"2024-10-09
22:04:55",813,3831±1633,"H,L,V",2.8 10−9,0.149,0,0,0.998,0,0.0025,,[233]
S241011k,"2024-10-11
23:38:34",76; towards Ophiuchus or Serpens Cauda,232±51,"H,V",2.5 10−34,0,0,0.00022,0.967,0.033,1.10E-16,,[234]